timestamp,platform,brand,product_name,current_price,original_price,discount_percent,rating,review_count,url,Effective+price,price_difference,saving percentage
13:23.3,Croma,Boat,"boAt Nirvana Ion ANC Pro TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual EQ Modes, Crystal Black)",2299,13990,83.57,4.0,0,https://www.croma.com/boat-nirvana-ion-anc-pro-tws-earbuds-with-active-noise-cancellation-ipx4-water-resistant-dual-eq-modes-crystal-black-/p/319481,2299,11691,84%
13:30.7,Croma,Jbl,"JBL Wave Buds 2 TWS Earbuds with Active Noise Cancellation (IP54 Water Resistant, 40 Hours Playtime, Pink)",2499,6999,64.29,4.0,0,https://www.croma.com/jbl-wave-buds-2-tws-earbuds-with-active-noise-cancellation-ip54-water-resistant-40-hours-playtime-pink-/p/313284,2499,4500,64%
13:38.8,Croma,Boat,"boAt Nirvana Crown PP0031 TWS Earbuds with Hybrid Active Noise Cancellation (IPX4 Water Resistance, ASAP Charge, Blazing Red)",2799,9990,71.98,4.0,0,https://www.croma.com/boat-nirvana-crown-pp0031-tws-earbuds-with-hybrid-active-noise-cancellation-ipx4-water-resistance-asap-charge-blazing-red-/p/319907,2799,7191,72%
13:46.1,Croma,Noise,"noise Buds VS102 Neo TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Hyper Sync Technology, Carbon Black)",1299,3499,62.88,4.0,0,https://www.croma.com/noise-buds-vs102-neo-tws-earbuds-with-environmental-noise-cancellation-ipx5-water-resistant-hyper-sync-technology-carbon-black-/p/304417,1299,2200,63%
13:53.3,Croma,Boat,"boAt Airdopes 111v2 TWS Earbuds with Environmental Noise Cancellation (IPX4 Splash & Sweat Resistance, ASAP Charge, Classic Black)",1499,4990,69.96,4.0,0,https://www.croma.com/boat-airdopes-111v2-tws-earbuds-with-environmental-noise-cancellation-ipx4-splash-sweat-resistance-asap-charge-classic-black-/p/317248,1499,3491,70%
14:01.1,Croma,Goboult,"GOBOULT Cyborg TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Blue Ice)",999,2999,66.69,4.0,0,https://www.croma.com/goboult-cyborg-tws-earbuds-with-environmental-noise-cancellation-ipx5-water-resistant-fast-charging-blue-ice-/p/315581,999,2000,67%
14:08.3,Croma,Noise,"noise Buds Marine AUDHDPHNBUDSMARINE TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual Pairing, Marine Black)",1999,3999,50.01,4.0,0,https://www.croma.com/noise-buds-marine-audhdphnbudsmarine-tws-earbuds-with-active-noise-cancellation-ipx4-water-resistant-dual-pairing-marine-black-/p/317086,1999,2000,50%
14:16.0,Croma,Goboult,"GOBOULT Mustang Torq FGTW196SVR TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Silver)",1799,5999,70.01,4.0,0,https://www.croma.com/goboult-mustang-torq-fgtw196svr-tws-earbuds-with-environmental-noise-cancellation-ipx5-water-resistant-fast-charging-silver-/p/315591,1799,4200,70%
21:31.7,Flipkart,Boat,"boAt Nirvana Ion ANC Pro w/ Hi-Res Audio with LDAC, ANC, 120H Battery, Multi-Connect Bluetooth",2299,2299,0.0,4.2,10014,https://www.flipkart.com/boat-nirvana-ion-anc-pro-w-hi-res-audio-ldac-anc-120h-battery-multi-connect-bluetooth/p/itm10c05fa3e3741?pid=ACCHDMFUQYG9BSXF&lid=LSTACCHDMFUQYG9BSXFBKWBTL&marketplace=FLIPKART&q=boat+nirvana+ion+anc&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_8_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_8_na_na_na&fm=search-autosuggest&iid=23d726b1-06b8-4aee-abe1-db09278938ed.ACCHDMFUQYG9BSXF.SEARCH&ppt=sp&ppn=sp&ssid=d4n4591ai80000001780305029716&qH=3c7e7447f32c6c91&ov_redirect=true&ov_redirect=true,2299,0,0%
21:46.9,Flipkart,Noise,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmental Noise Cancellation, Quad Mic Bluetooth Gaming",1099,1099,0.0,4.1,8376,https://www.flipkart.com/noise-buds-vs102-neo-40-hrs-playtime-environmental-cancellation-quad-mic-bluetooth-gaming/p/itmb7b90e464c8dc?pid=ACCGQSGWHMKHBZE7&lid=LSTACCGQSGWHMKHBZE7LHPRTX&marketplace=FLIPKART&q=Noise+Buds+VS102+&store=0pm%2Ffcn&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=9822260c-fe23-4ff6-9b2b-fb0037e8056d.ACCGQSGWHMKHBZE7.SEARCH&ppt=sp&ppn=sp&ssid=d7vjvgwu340000001780395633363&qH=18baf7ae02409b94&ov_redirect=true&ov_redirect=true,1099,0,0%
22:01.6,Flipkart,Noise,ANIO Buds Marine TWS | ANC|35H Battery Compatible with-Noise Bluetooth,988,988,0.0,4.0,0,https://www.flipkart.com/anio-buds-marine-tws-anc-35h-battery-compatible-with-noise-bluetooth/p/itm7abfa3ec6c4a2?pid=ACCHNQHM2WAYHCFT&lid=LSTACCHNQHM2WAYHCFTNTD9ZW&marketplace=FLIPKART&q=Noise+Buds+Marine+TWS&store=0pm%2Ffcn%2F821&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=7fe6a850-f66e-4d0c-b58d-65b9fd772d62.ACCHNQHM2WAYHCFT.SEARCH&ppt=sp&ppn=sp&ssid=fyxji3qwz40000001780400156521&qH=f07e8ba7242ce852&ov_redirect=true&ov_redirect=true,988,0,0%
22:08.8,Flipkart,Boat,"boAt Nirvana Zenith Pro (2025),50dB Hybrid ANC,Spatial Audio,80Hr Battery,App Support Bluetooth",2799,2799,0.0,4.2,674,https://www.flipkart.com/boat-nirvana-zenith-pro-2025-50db-hybrid-anc-spatial-audio-80hr-battery-app-support-bluetooth/p/itm05b95f5483001?pid=ACCH9K5BQZB3WJYM&lid=LSTACCH9K5BQZB3WJYMQ7LPAM&marketplace=FLIPKART&q=Boat+Nirvana+Zenith+Pro%2C50dB+Hybrid+AdaptiveANC&store=0pm%2Ffcn%2F821&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=213b957a-c9ed-4901-9325-ee3c33807177.ACCH9K5BQZB3WJYM.SEARCH&ppt=sp&ppn=sp&ssid=l9qd3a2ik00000001780400343229&qH=8ee9164e20ea45ea&ov_redirect=true&ov_redirect=true,2799,0,0%
41:17.0,Amazon,Goboult,"GOBOULT Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Made in India Ear Buds Wireless (Silver)",1799,1799,0.0,4.0,0,https://www.amazon.in/Launched-Earbuds-Playtime-Breathing-Wireless/dp/B0DN1RPL19/ref=sr_1_3?crid=OKXMUQD31JF9&dib=eyJ2IjoiMSJ9.1ssq9bsw2TMccw21DhE1MdyZ_uXo1S1DIjLFoYrXwyYjDxSywqutky_ixnvskhvXgl5Mt4PPacYf6HcRtCK1BSvCldYmVqzU_qYuDxBwRUzF9qQBFGNK-cHDFDdD8ROod8m0PbZa6T6BO49XmxlNHEcXiDX4XLiGsCV5evVMu3yDJE6Rs1vAx-Xw6mSmPgD_oG6hgbprTP1Aj3Mm11-4CtQNrHF-m-dQRfl1816vs-M.KoGdSW5VXv1v6u689JJQX2x1botgobP2K1hC8noBwQs&dib_tag=se&keywords=GOBOULT%2BMustang%2BTorq%2B60Hrs&nsdOptOutParam=true&qid=1780400570&sprefix=goboult%2Bmustang%2Btorq%2B60hrs%2Caps%2C391&sr=8-3&th=1,1799,0,0%
